# Registry dump
# Registry: minecraft:item
# Minecraft: 1.21.1
# Entries: 14351
# Generated: 2026-06-14T13:45:01.2298569+08:00

amendments:dragon_charge raw_id=8533 class=net.mehvahdjukaar.amendments.common.item.DragonChargeItem
another_furniture:light_gray_tall_stool raw_id=10071 class=net.minecraft.world.item.BlockItem
another_furniture:lime_curtain raw_id=9997 class=net.minecraft.world.item.BlockItem
another_furniture:lime_lamp raw_id=10036 class=net.minecraft.world.item.BlockItem
another_furniture:lime_sofa raw_id=10052 class=net.minecraft.world.item.BlockItem
another_furniture:lime_stool raw_id=9959 class=net.minecraft.world.item.BlockItem
another_furniture:lime_tall_stool raw_id=10068 class=net.minecraft.world.item.BlockItem
another_furniture:magenta_curtain raw_id=9994 class=net.minecraft.world.item.BlockItem
another_furniture:magenta_lamp raw_id=10033 class=net.minecraft.world.item.BlockItem
another_furniture:magenta_sofa raw_id=10049 class=net.minecraft.world.item.BlockItem
another_furniture:magenta_stool raw_id=9956 class=net.minecraft.world.item.BlockItem
another_furniture:magenta_tall_stool raw_id=10065 class=net.minecraft.world.item.BlockItem
another_furniture:mangrove_bench raw_id=10015 class=net.minecraft.world.item.BlockItem
another_furniture:mangrove_chair raw_id=9927 class=net.minecraft.world.item.BlockItem
another_furniture:mangrove_drawer raw_id=10026 class=net.minecraft.world.item.BlockItem
another_furniture:mangrove_flower_box raw_id=9987 class=net.minecraft.world.item.BlockItem
another_furniture:mangrove_shelf raw_id=9938 class=net.minecraft.world.item.BlockItem
another_furniture:mangrove_shutter raw_id=9976 class=net.minecraft.world.item.BlockItem
another_furniture:mangrove_table raw_id=9949 class=net.minecraft.world.item.BlockItem
another_furniture:oak_bench raw_id=10009 class=net.minecraft.world.item.BlockItem
another_furniture:oak_chair raw_id=9921 class=net.minecraft.world.item.BlockItem
another_furniture:oak_drawer raw_id=10020 class=net.minecraft.world.item.BlockItem
another_furniture:oak_flower_box raw_id=9981 class=net.minecraft.world.item.BlockItem
another_furniture:oak_shelf raw_id=9932 class=net.minecraft.world.item.BlockItem
another_furniture:oak_shutter raw_id=9970 class=net.minecraft.world.item.BlockItem
another_furniture:oak_table raw_id=9943 class=net.minecraft.world.item.BlockItem
another_furniture:orange_curtain raw_id=9993 class=net.minecraft.world.item.BlockItem
another_furniture:orange_lamp raw_id=10032 class=net.minecraft.world.item.BlockItem
another_furniture:orange_sofa raw_id=10048 class=net.minecraft.world.item.BlockItem
another_furniture:orange_stool raw_id=9955 class=net.minecraft.world.item.BlockItem
another_furniture:orange_tall_stool raw_id=10064 class=net.minecraft.world.item.BlockItem
another_furniture:pink_curtain raw_id=9998 class=net.minecraft.world.item.BlockItem
another_furniture:pink_lamp raw_id=10037 class=net.minecraft.world.item.BlockItem
another_furniture:pink_sofa raw_id=10053 class=net.minecraft.world.item.BlockItem
another_furniture:pink_stool raw_id=9960 class=net.minecraft.world.item.BlockItem
another_furniture:pink_tall_stool raw_id=10069 class=net.minecraft.world.item.BlockItem
another_furniture:purple_curtain raw_id=10002 class=net.minecraft.world.item.BlockItem
another_furniture:purple_lamp raw_id=10041 class=net.minecraft.world.item.BlockItem
another_furniture:purple_sofa raw_id=10057 class=net.minecraft.world.item.BlockItem
another_furniture:purple_stool raw_id=9964 class=net.minecraft.world.item.BlockItem
another_furniture:purple_tall_stool raw_id=10073 class=net.minecraft.world.item.BlockItem
another_furniture:red_curtain raw_id=10006 class=net.minecraft.world.item.BlockItem
another_furniture:red_lamp raw_id=10045 class=net.minecraft.world.item.BlockItem
another_furniture:red_sofa raw_id=10061 class=net.minecraft.world.item.BlockItem
another_furniture:red_stool raw_id=9968 class=net.minecraft.world.item.BlockItem
another_furniture:red_tall_stool raw_id=10077 class=net.minecraft.world.item.BlockItem
another_furniture:service_bell raw_id=10008 class=net.minecraft.world.item.BlockItem
another_furniture:spruce_bench raw_id=10010 class=net.minecraft.world.item.BlockItem
another_furniture:spruce_chair raw_id=9922 class=net.minecraft.world.item.BlockItem
another_furniture:spruce_drawer raw_id=10021 class=net.minecraft.world.item.BlockItem
another_furniture:spruce_flower_box raw_id=9982 class=net.minecraft.world.item.BlockItem
another_furniture:spruce_shelf raw_id=9933 class=net.minecraft.world.item.BlockItem
another_furniture:spruce_shutter raw_id=9971 class=net.minecraft.world.item.BlockItem
another_furniture:spruce_table raw_id=9944 class=net.minecraft.world.item.BlockItem
another_furniture:warped_bench raw_id=10019 class=net.minecraft.world.item.BlockItem
another_furniture:warped_chair raw_id=9931 class=net.minecraft.world.item.BlockItem
another_furniture:warped_drawer raw_id=10030 class=net.minecraft.world.item.BlockItem
another_furniture:warped_flower_box raw_id=9991 class=net.minecraft.world.item.BlockItem
another_furniture:warped_shelf raw_id=9942 class=net.minecraft.world.item.BlockItem
another_furniture:warped_shutter raw_id=9980 class=net.minecraft.world.item.BlockItem
another_furniture:warped_table raw_id=9953 class=net.minecraft.world.item.BlockItem
another_furniture:white_curtain raw_id=9992 class=net.minecraft.world.item.BlockItem
another_furniture:white_lamp raw_id=10031 class=net.minecraft.world.item.BlockItem
another_furniture:white_sofa raw_id=10047 class=net.minecraft.world.item.BlockItem
another_furniture:white_stool raw_id=9954 class=net.minecraft.world.item.BlockItem
another_furniture:white_tall_stool raw_id=10063 class=net.minecraft.world.item.BlockItem
another_furniture:yellow_curtain raw_id=9996 class=net.minecraft.world.item.BlockItem
another_furniture:yellow_lamp raw_id=10035 class=net.minecraft.world.item.BlockItem
another_furniture:yellow_sofa raw_id=10051 class=net.minecraft.world.item.BlockItem
another_furniture:yellow_stool raw_id=9958 class=net.minecraft.world.item.BlockItem
another_furniture:yellow_tall_stool raw_id=10067 class=net.minecraft.world.item.BlockItem
artifacts:anglers_hat raw_id=8818 class=artifacts.item.WearableArtifactItem
artifacts:antidote_vessel raw_id=8830 class=artifacts.item.WearableArtifactItem
artifacts:aqua_dashers raw_id=8846 class=artifacts.item.WearableArtifactItem
artifacts:bunny_hoppers raw_id=8847 class=artifacts.item.WearableArtifactItem
artifacts:charm_of_shrinking raw_id=8827 class=artifacts.item.WearableArtifactItem
artifacts:charm_of_sinking raw_id=8826 class=artifacts.item.WearableArtifactItem
artifacts:chorus_totem raw_id=8834 class=artifacts.item.WearableArtifactItem
artifacts:cloud_in_a_bottle raw_id=8828 class=artifacts.item.WearableArtifactItem
artifacts:cowboy_hat raw_id=8817 class=artifacts.item.WearableArtifactItem
artifacts:cross_necklace raw_id=8821 class=artifacts.item.WearableArtifactItem
artifacts:crystal_heart raw_id=8832 class=artifacts.item.WearableArtifactItem
artifacts:digging_claws raw_id=8836 class=artifacts.item.WearableArtifactItem
artifacts:eternal_steak raw_id=8810 class=artifacts.item.EverlastingFoodItem
artifacts:everlasting_beef raw_id=8809 class=artifacts.item.EverlastingFoodItem
artifacts:feral_claws raw_id=8837 class=artifacts.item.WearableArtifactItem
artifacts:fire_gauntlet raw_id=8839 class=artifacts.item.WearableArtifactItem
artifacts:flame_pendant raw_id=8824 class=artifacts.item.WearableArtifactItem
artifacts:flippers raw_id=8852 class=artifacts.item.WearableArtifactItem
artifacts:golden_hook raw_id=8842 class=artifacts.item.WearableArtifactItem
artifacts:helium_flamingo raw_id=8833 class=artifacts.item.WearableArtifactItem
artifacts:kitty_slippers raw_id=8848 class=artifacts.item.WearableArtifactItem
artifacts:lucky_scarf raw_id=8819 class=artifacts.item.WearableArtifactItem
artifacts:mimic_spawn_egg raw_id=8807 class=net.neoforged.neoforge.common.DeferredSpawnEggItem
artifacts:night_vision_goggles raw_id=8814 class=artifacts.item.WearableArtifactItem
artifacts:novelty_drinking_hat raw_id=8812 class=artifacts.item.WearableArtifactItem
artifacts:obsidian_skull raw_id=8829 class=artifacts.item.WearableArtifactItem
artifacts:onion_ring raw_id=8843 class=artifacts.item.WearableArtifactItem
artifacts:panic_necklace raw_id=8822 class=artifacts.item.WearableArtifactItem
artifacts:pickaxe_heater raw_id=8844 class=artifacts.item.WearableArtifactItem
artifacts:plastic_drinking_hat raw_id=8811 class=artifacts.item.WearableArtifactItem
artifacts:pocket_piston raw_id=8840 class=artifacts.item.WearableArtifactItem
artifacts:power_glove raw_id=8838 class=artifacts.item.WearableArtifactItem
artifacts:rooted_boots raw_id=8853 class=artifacts.item.WearableArtifactItem
artifacts:running_shoes raw_id=8849 class=artifacts.item.WearableArtifactItem
artifacts:scarf_of_invisibility raw_id=8820 class=artifacts.item.WearableArtifactItem
artifacts:shock_pendant raw_id=8823 class=artifacts.item.WearableArtifactItem
artifacts:snorkel raw_id=8813 class=artifacts.item.WearableArtifactItem
artifacts:snowshoes raw_id=8850 class=artifacts.item.WearableArtifactItem
artifacts:steadfast_spikes raw_id=8851 class=artifacts.item.WearableArtifactItem
artifacts:strider_shoes raw_id=8854 class=artifacts.item.WearableArtifactItem
artifacts:superstitious_hat raw_id=8816 class=artifacts.item.WearableArtifactItem
artifacts:thorn_pendant raw_id=8825 class=artifacts.item.WearableArtifactItem
artifacts:umbrella raw_id=8808 class=artifacts.item.UmbrellaItem
artifacts:universal_attractor raw_id=8831 class=artifacts.item.WearableArtifactItem
artifacts:vampiric_glove raw_id=8841 class=artifacts.item.WearableArtifactItem
artifacts:villager_hat raw_id=8815 class=artifacts.item.WearableArtifactItem
artifacts:warp_drive raw_id=8835 class=artifacts.item.WearableArtifactItem
artifacts:whoopee_cushion raw_id=8855 class=artifacts.item.WearableArtifactItem
artifacts:withered_bracelet raw_id=8845 class=artifacts.item.WearableArtifactItem
atmospheric:agave raw_id=10983 class=net.minecraft.world.item.BlockItem
atmospheric:aloe_bundle raw_id=10948 class=net.minecraft.world.item.BlockItem
atmospheric:aloe_gel_block raw_id=10949 class=net.minecraft.world.item.BlockItem
atmospheric:aloe_gel_bottle raw_id=11105 class=com.teamabnormals.atmospheric.common.item.AloeGelBottleItem
atmospheric:aloe_kernels raw_id=11103 class=net.minecraft.world.item.ItemNameBlockItem
atmospheric:aloe_leaves raw_id=11104 class=com.teamabnormals.atmospheric.common.item.AloeLeavesItem
atmospheric:apostle_armor_trim_smithing_template raw_id=11121 class=net.minecraft.world.item.SmithingTemplateItem
atmospheric:arid_glass raw_id=10912 class=net.minecraft.world.item.BlockItem
atmospheric:arid_glass_pane raw_id=10913 class=net.minecraft.world.item.BlockItem
atmospheric:arid_sand raw_id=10890 class=net.minecraft.world.item.BlockItem
atmospheric:arid_sandstone raw_id=10891 class=net.minecraft.world.item.BlockItem
atmospheric:arid_sandstone_slab raw_id=10892 class=net.minecraft.world.item.BlockItem
atmospheric:arid_sandstone_stairs raw_id=10893 class=net.minecraft.world.item.BlockItem
atmospheric:arid_sandstone_wall raw_id=10894 class=net.minecraft.world.item.BlockItem
atmospheric:arid_sprouts raw_id=10947 class=net.minecraft.world.item.BlockItem
atmospheric:aspen_beehive raw_id=10976 class=net.minecraft.world.item.BlockItem
atmospheric:aspen_boards raw_id=10972 class=net.minecraft.world.item.BlockItem
atmospheric:aspen_boat raw_id=11140 class=com.teamabnormals.blueprint.common.item.BlueprintBoatItem
atmospheric:aspen_bookshelf raw_id=10973 class=net.minecraft.world.item.BlockItem
atmospheric:aspen_button raw_id=10965 class=net.minecraft.world.item.BlockItem
atmospheric:aspen_chest raw_id=10978 class=net.minecraft.world.item.BlockItem
atmospheric:aspen_chest_boat raw_id=11141 class=com.teamabnormals.blueprint.common.item.BlueprintBoatItem
atmospheric:aspen_door raw_id=10968 class=net.minecraft.world.item.BlockItem
atmospheric:aspen_fence raw_id=10966 class=net.minecraft.world.item.BlockItem
atmospheric:aspen_fence_gate raw_id=10967 class=net.minecraft.world.item.BlockItem
atmospheric:aspen_furnace_boat raw_id=11142 class=net.minecraft.world.item.Item
atmospheric:aspen_hanging_sign raw_id=10971 class=net.minecraft.world.item.HangingSignItem
atmospheric:aspen_ladder raw_id=10975 class=net.minecraft.world.item.BlockItem
atmospheric:aspen_leaf_pile raw_id=10977 class=net.minecraft.world.item.BlockItem
atmospheric:aspen_leaves raw_id=10959 class=net.minecraft.world.item.BlockItem
atmospheric:aspen_log raw_id=10955 class=net.minecraft.world.item.BlockItem
atmospheric:aspen_planks raw_id=10961 class=net.minecraft.world.item.BlockItem
atmospheric:aspen_pressure_plate raw_id=10964 class=net.minecraft.world.item.BlockItem
atmospheric:aspen_sapling raw_id=10960 class=net.minecraft.world.item.BlockItem
atmospheric:aspen_sign raw_id=10970 class=net.minecraft.world.item.SignItem
atmospheric:aspen_slab raw_id=10963 class=net.minecraft.world.item.BlockItem
atmospheric:aspen_stairs raw_id=10962 class=net.minecraft.world.item.BlockItem
atmospheric:aspen_trapdoor raw_id=10969 class=net.minecraft.world.item.BlockItem
atmospheric:aspen_wood raw_id=10956 class=net.minecraft.world.item.BlockItem
atmospheric:barrel_cactus raw_id=11102 class=com.teamabnormals.atmospheric.common.item.BarrelCactusItem
atmospheric:barrel_cactus_batch raw_id=10952 class=net.minecraft.world.item.BlockItem
atmospheric:blood_orange raw_id=11117 class=com.teamabnormals.atmospheric.common.item.OrangeBlockItem
atmospheric:blood_orange_crate raw_id=11018 class=net.minecraft.world.item.BlockItem
atmospheric:candied_orange_slices raw_id=11116 class=net.minecraft.world.item.Item
atmospheric:carmine_block raw_id=11077 class=net.minecraft.world.item.BlockItem
atmospheric:carmine_husk raw_id=11108 class=net.minecraft.world.item.Item
atmospheric:carmine_pavement raw_id=11083 class=net.minecraft.world.item.BlockItem
atmospheric:carmine_pavement_slab raw_id=11085 class=net.minecraft.world.item.BlockItem
atmospheric:carmine_pavement_stairs raw_id=11084 class=net.minecraft.world.item.BlockItem
atmospheric:carmine_pavement_wall raw_id=11086 class=net.minecraft.world.item.BlockItem
atmospheric:carmine_shingle_slab raw_id=11080 class=net.minecraft.world.item.BlockItem
atmospheric:carmine_shingle_stairs raw_id=11079 class=net.minecraft.world.item.BlockItem
atmospheric:carmine_shingle_wall raw_id=11081 class=net.minecraft.world.item.BlockItem
atmospheric:carmine_shingles raw_id=11078 class=net.minecraft.world.item.BlockItem
atmospheric:chiseled_arid_sandstone raw_id=10900 class=net.minecraft.world.item.BlockItem
atmospheric:chiseled_aspen_bookshelf raw_id=10974 class=net.minecraft.world.item.BlockItem
atmospheric:chiseled_carmine_shingles raw_id=11082 class=net.minecraft.world.item.BlockItem
atmospheric:chiseled_grimwood_bookshelf raw_id=11071 class=net.minecraft.world.item.BlockItem
atmospheric:chiseled_ivory_travertine raw_id=10863 class=net.minecraft.world.item.BlockItem
atmospheric:chiseled_kousa_bookshelf raw_id=11038 class=net.minecraft.world.item.BlockItem
atmospheric:chiseled_laurel_bookshelf raw_id=11008 class=net.minecraft.world.item.BlockItem
atmospheric:chiseled_morado_bookshelf raw_id=10844 class=net.minecraft.world.item.BlockItem
atmospheric:chiseled_peach_travertine raw_id=10864 class=net.minecraft.world.item.BlockItem
atmospheric:chiseled_persimmon_travertine raw_id=10865 class=net.minecraft.world.item.BlockItem
atmospheric:chiseled_red_arid_sandstone raw_id=10911 class=net.minecraft.world.item.BlockItem
atmospheric:chiseled_rosewood_bookshelf raw_id=10819 class=net.minecraft.world.item.BlockItem
atmospheric:chiseled_saffron_travertine raw_id=10866 class=net.minecraft.world.item.BlockItem
atmospheric:chiseled_yucca_bookshelf raw_id=10935 class=net.minecraft.world.item.BlockItem
atmospheric:cochineal_banner_pattern raw_id=11109 class=net.minecraft.world.item.BannerPatternItem
atmospheric:cochineal_spawn_egg raw_id=11154 class=net.neoforged.neoforge.common.DeferredSpawnEggItem
atmospheric:crustose raw_id=10985 class=net.minecraft.world.item.BlockItem
atmospheric:crustose_log raw_id=10987 class=net.minecraft.world.item.BlockItem
atmospheric:crustose_path raw_id=10986 class=net.minecraft.world.item.BlockItem
atmospheric:crustose_wood raw_id=10988 class=net.minecraft.world.item.BlockItem
atmospheric:currant raw_id=11106 class=net.minecraft.world.item.Item
atmospheric:currant_crate raw_id=11050 class=net.minecraft.world.item.BlockItem
atmospheric:currant_leaf_pile raw_id=11049 class=net.minecraft.world.item.BlockItem
atmospheric:currant_leaves raw_id=11047 class=net.minecraft.world.item.BlockItem
atmospheric:currant_muffin raw_id=11107 class=net.minecraft.world.item.Item
atmospheric:currant_seedling raw_id=11048 class=net.minecraft.world.item.BlockItem
atmospheric:currant_stalk raw_id=11045 class=net.minecraft.world.item.BlockItem
atmospheric:currant_stalk_bundle raw_id=11046 class=net.minecraft.world.item.BlockItem
atmospheric:cut_arid_sandstone raw_id=10898 class=net.minecraft.world.item.BlockItem
atmospheric:cut_arid_sandstone_slab raw_id=10899 class=net.minecraft.world.item.BlockItem
atmospheric:cut_ivory_travertine raw_id=10867 class=net.minecraft.world.item.BlockItem
atmospheric:cut_peach_travertine raw_id=10868 class=net.minecraft.world.item.BlockItem
atmospheric:cut_persimmon_travertine raw_id=10869 class=net.minecraft.world.item.BlockItem
atmospheric:cut_red_arid_sandstone raw_id=10909 class=net.minecraft.world.item.BlockItem
atmospheric:cut_red_arid_sandstone_slab raw_id=10910 class=net.minecraft.world.item.BlockItem
atmospheric:cut_saffron_travertine raw_id=10870 class=net.minecraft.world.item.BlockItem
atmospheric:dolerite raw_id=10883 class=net.minecraft.world.item.BlockItem
atmospheric:dolerite_slab raw_id=10885 class=net.minecraft.world.item.BlockItem
atmospheric:dolerite_stairs raw_id=10884 class=net.minecraft.world.item.BlockItem
atmospheric:dolerite_wall raw_id=10886 class=net.minecraft.world.item.BlockItem
atmospheric:dragon_fruit raw_id=11110 class=net.minecraft.world.item.Item
atmospheric:dragon_fruit_crate raw_id=11090 class=net.minecraft.world.item.BlockItem
atmospheric:dragon_roots raw_id=11087 class=net.minecraft.world.item.BlockItem
atmospheric:druid_armor_trim_smithing_template raw_id=11122 class=net.minecraft.world.item.SmithingTemplateItem
atmospheric:dry_laurel_leaf_pile raw_id=11016 class=net.minecraft.world.item.BlockItem
atmospheric:dry_laurel_leaves raw_id=11014 class=net.minecraft.world.item.BlockItem
atmospheric:dry_laurel_sapling raw_id=11015 class=net.minecraft.world.item.BlockItem
atmospheric:ender_dragon_fruit raw_id=11112 class=com.teamabnormals.atmospheric.common.item.EnderDragonFruitItem
atmospheric:firethorn raw_id=11088 class=net.minecraft.world.item.BlockItem
atmospheric:flowering_morado_leaf_pile raw_id=10851 class=net.minecraft.world.item.BlockItem
atmospheric:flowering_morado_leaves raw_id=10850 class=net.minecraft.world.item.BlockItem
atmospheric:forsythia raw_id=11089 class=net.minecraft.world.item.BlockItem
atmospheric:gilia raw_id=10946 class=net.minecraft.world.item.BlockItem
atmospheric:golden_dragon_fruit raw_id=11111 class=net.minecraft.world.item.Item
atmospheric:golden_dragon_fruit_crate raw_id=11091 class=net.minecraft.world.item.BlockItem
atmospheric:golden_growths raw_id=10984 class=net.minecraft.world.item.BlockItem
atmospheric:green_aspen_leaf_pile raw_id=10982 class=net.minecraft.world.item.BlockItem
atmospheric:green_aspen_leaves raw_id=10980 class=net.minecraft.world.item.BlockItem
atmospheric:green_aspen_sapling raw_id=10981 class=net.minecraft.world.item.BlockItem
atmospheric:grimweb raw_id=11051 class=net.minecraft.world.item.BlockItem
atmospheric:grimwood raw_id=11055 class=net.minecraft.world.item.BlockItem
atmospheric:grimwood_beehive raw_id=11073 class=net.minecraft.world.item.BlockItem
atmospheric:grimwood_boards raw_id=11069 class=net.minecraft.world.item.BlockItem
atmospheric:grimwood_boat raw_id=11148 class=com.teamabnormals.blueprint.common.item.BlueprintBoatItem
atmospheric:grimwood_bookshelf raw_id=11070 class=net.minecraft.world.item.BlockItem
atmospheric:grimwood_button raw_id=11062 class=net.minecraft.world.item.BlockItem
atmospheric:grimwood_chest raw_id=11075 class=net.minecraft.world.item.BlockItem
atmospheric:grimwood_chest_boat raw_id=11149 class=com.teamabnormals.blueprint.common.item.BlueprintBoatItem
atmospheric:grimwood_door raw_id=11065 class=net.minecraft.world.item.BlockItem
atmospheric:grimwood_fence raw_id=11063 class=net.minecraft.world.item.BlockItem
atmospheric:grimwood_fence_gate raw_id=11064 class=net.minecraft.world.item.BlockItem
atmospheric:grimwood_furnace_boat raw_id=11150 class=net.minecraft.world.item.Item
atmospheric:grimwood_hanging_sign raw_id=11068 class=net.minecraft.world.item.HangingSignItem
atmospheric:grimwood_ladder raw_id=11072 class=net.minecraft.world.item.BlockItem
atmospheric:grimwood_leaf_pile raw_id=11074 class=net.minecraft.world.item.BlockItem
