# Registry dump
# Registry: minecraft:block
# Minecraft: 1.21.1
# Entries: 10760
# Generated: 2026-06-14T13:47:24.1922436+08:00

amendments:carpet_slab raw_id=6642 class=net.mehvahdjukaar.amendments.common.block.CarpetSlabBlock
another_furniture:black_lamp raw_id=7374 class=com.starfish_studios.another_furniture.block.LampBlock
another_furniture:black_lamp_connector raw_id=7390 class=com.starfish_studios.another_furniture.block.LampConnectorBlock
another_furniture:black_sofa raw_id=7406 class=com.starfish_studios.another_furniture.block.SofaBlock
another_furniture:black_stool raw_id=7297 class=com.starfish_studios.another_furniture.block.StoolBlock
another_furniture:black_tall_stool raw_id=7422 class=com.starfish_studios.another_furniture.block.TallStoolBlock
another_furniture:blue_curtain raw_id=7331 class=com.starfish_studios.another_furniture.block.CurtainBlock
another_furniture:blue_lamp raw_id=7370 class=com.starfish_studios.another_furniture.block.LampBlock
another_furniture:blue_lamp_connector raw_id=7386 class=com.starfish_studios.another_furniture.block.LampConnectorBlock
another_furniture:blue_sofa raw_id=7402 class=com.starfish_studios.another_furniture.block.SofaBlock
another_furniture:blue_stool raw_id=7293 class=com.starfish_studios.another_furniture.block.StoolBlock
another_furniture:blue_tall_stool raw_id=7418 class=com.starfish_studios.another_furniture.block.TallStoolBlock
another_furniture:brown_curtain raw_id=7332 class=com.starfish_studios.another_furniture.block.CurtainBlock
another_furniture:brown_lamp raw_id=7371 class=com.starfish_studios.another_furniture.block.LampBlock
another_furniture:brown_lamp_connector raw_id=7387 class=com.starfish_studios.another_furniture.block.LampConnectorBlock
another_furniture:brown_sofa raw_id=7403 class=com.starfish_studios.another_furniture.block.SofaBlock
another_furniture:brown_stool raw_id=7294 class=com.starfish_studios.another_furniture.block.StoolBlock
another_furniture:brown_tall_stool raw_id=7419 class=com.starfish_studios.another_furniture.block.TallStoolBlock
another_furniture:cherry_bench raw_id=7344 class=com.starfish_studios.another_furniture.block.BenchBlock
another_furniture:cherry_chair raw_id=7256 class=com.starfish_studios.another_furniture.block.ChairBlock
another_furniture:cherry_drawer raw_id=7355 class=com.starfish_studios.another_furniture.block.DrawerBlock
another_furniture:cherry_flower_box raw_id=7316 class=com.starfish_studios.another_furniture.block.FlowerBoxBlock
another_furniture:cherry_shelf raw_id=7267 class=com.starfish_studios.another_furniture.block.ShelfBlock
another_furniture:cherry_shutter raw_id=7305 class=com.starfish_studios.another_furniture.block.ShutterBlock
another_furniture:cherry_table raw_id=7278 class=com.starfish_studios.another_furniture.block.TableBlock
another_furniture:crimson_bench raw_id=7346 class=com.starfish_studios.another_furniture.block.BenchBlock
another_furniture:crimson_chair raw_id=7258 class=com.starfish_studios.another_furniture.block.ChairBlock
another_furniture:crimson_drawer raw_id=7357 class=com.starfish_studios.another_furniture.block.DrawerBlock
another_furniture:crimson_flower_box raw_id=7318 class=com.starfish_studios.another_furniture.block.FlowerBoxBlock
another_furniture:crimson_shelf raw_id=7269 class=com.starfish_studios.another_furniture.block.ShelfBlock
another_furniture:crimson_shutter raw_id=7307 class=com.starfish_studios.another_furniture.block.ShutterBlock
another_furniture:crimson_table raw_id=7280 class=com.starfish_studios.another_furniture.block.TableBlock
another_furniture:cyan_curtain raw_id=7329 class=com.starfish_studios.another_furniture.block.CurtainBlock
another_furniture:cyan_lamp raw_id=7368 class=com.starfish_studios.another_furniture.block.LampBlock
another_furniture:cyan_lamp_connector raw_id=7384 class=com.starfish_studios.another_furniture.block.LampConnectorBlock
another_furniture:cyan_sofa raw_id=7400 class=com.starfish_studios.another_furniture.block.SofaBlock
another_furniture:cyan_stool raw_id=7291 class=com.starfish_studios.another_furniture.block.StoolBlock
another_furniture:cyan_tall_stool raw_id=7416 class=com.starfish_studios.another_furniture.block.TallStoolBlock
another_furniture:dark_oak_bench raw_id=7342 class=com.starfish_studios.another_furniture.block.BenchBlock
another_furniture:dark_oak_chair raw_id=7254 class=com.starfish_studios.another_furniture.block.ChairBlock
another_furniture:dark_oak_drawer raw_id=7353 class=com.starfish_studios.another_furniture.block.DrawerBlock
another_furniture:dark_oak_flower_box raw_id=7314 class=com.starfish_studios.another_furniture.block.FlowerBoxBlock
another_furniture:dark_oak_shelf raw_id=7265 class=com.starfish_studios.another_furniture.block.ShelfBlock
another_furniture:dark_oak_shutter raw_id=7303 class=com.starfish_studios.another_furniture.block.ShutterBlock
another_furniture:dark_oak_table raw_id=7276 class=com.starfish_studios.another_furniture.block.TableBlock
another_furniture:gray_curtain raw_id=7327 class=com.starfish_studios.another_furniture.block.CurtainBlock
another_furniture:gray_lamp raw_id=7366 class=com.starfish_studios.another_furniture.block.LampBlock
another_furniture:gray_lamp_connector raw_id=7382 class=com.starfish_studios.another_furniture.block.LampConnectorBlock
another_furniture:gray_sofa raw_id=7398 class=com.starfish_studios.another_furniture.block.SofaBlock
another_furniture:gray_stool raw_id=7289 class=com.starfish_studios.another_furniture.block.StoolBlock
another_furniture:gray_tall_stool raw_id=7414 class=com.starfish_studios.another_furniture.block.TallStoolBlock
another_furniture:green_curtain raw_id=7333 class=com.starfish_studios.another_furniture.block.CurtainBlock
another_furniture:green_lamp raw_id=7372 class=com.starfish_studios.another_furniture.block.LampBlock
another_furniture:green_lamp_connector raw_id=7388 class=com.starfish_studios.another_furniture.block.LampConnectorBlock
another_furniture:green_sofa raw_id=7404 class=com.starfish_studios.another_furniture.block.SofaBlock
another_furniture:green_stool raw_id=7295 class=com.starfish_studios.another_furniture.block.StoolBlock
another_furniture:green_tall_stool raw_id=7420 class=com.starfish_studios.another_furniture.block.TallStoolBlock
another_furniture:jungle_bench raw_id=7340 class=com.starfish_studios.another_furniture.block.BenchBlock
another_furniture:jungle_chair raw_id=7252 class=com.starfish_studios.another_furniture.block.ChairBlock
another_furniture:jungle_drawer raw_id=7351 class=com.starfish_studios.another_furniture.block.DrawerBlock
another_furniture:jungle_flower_box raw_id=7312 class=com.starfish_studios.another_furniture.block.FlowerBoxBlock
another_furniture:jungle_shelf raw_id=7263 class=com.starfish_studios.another_furniture.block.ShelfBlock
another_furniture:jungle_shutter raw_id=7301 class=com.starfish_studios.another_furniture.block.ShutterBlock
another_furniture:jungle_table raw_id=7274 class=com.starfish_studios.another_furniture.block.TableBlock
another_furniture:light_blue_curtain raw_id=7323 class=com.starfish_studios.another_furniture.block.CurtainBlock
another_furniture:light_blue_lamp raw_id=7362 class=com.starfish_studios.another_furniture.block.LampBlock
another_furniture:light_blue_lamp_connector raw_id=7378 class=com.starfish_studios.another_furniture.block.LampConnectorBlock
another_furniture:light_blue_sofa raw_id=7394 class=com.starfish_studios.another_furniture.block.SofaBlock
another_furniture:light_blue_stool raw_id=7285 class=com.starfish_studios.another_furniture.block.StoolBlock
another_furniture:light_blue_tall_stool raw_id=7410 class=com.starfish_studios.another_furniture.block.TallStoolBlock
another_furniture:light_gray_curtain raw_id=7328 class=com.starfish_studios.another_furniture.block.CurtainBlock
another_furniture:light_gray_lamp raw_id=7367 class=com.starfish_studios.another_furniture.block.LampBlock
another_furniture:light_gray_lamp_connector raw_id=7383 class=com.starfish_studios.another_furniture.block.LampConnectorBlock
another_furniture:light_gray_sofa raw_id=7399 class=com.starfish_studios.another_furniture.block.SofaBlock
another_furniture:light_gray_stool raw_id=7290 class=com.starfish_studios.another_furniture.block.StoolBlock
another_furniture:light_gray_tall_stool raw_id=7415 class=com.starfish_studios.another_furniture.block.TallStoolBlock
another_furniture:lime_curtain raw_id=7325 class=com.starfish_studios.another_furniture.block.CurtainBlock
another_furniture:lime_lamp raw_id=7364 class=com.starfish_studios.another_furniture.block.LampBlock
another_furniture:lime_lamp_connector raw_id=7380 class=com.starfish_studios.another_furniture.block.LampConnectorBlock
another_furniture:lime_sofa raw_id=7396 class=com.starfish_studios.another_furniture.block.SofaBlock
another_furniture:lime_stool raw_id=7287 class=com.starfish_studios.another_furniture.block.StoolBlock
another_furniture:lime_tall_stool raw_id=7412 class=com.starfish_studios.another_furniture.block.TallStoolBlock
another_furniture:magenta_curtain raw_id=7322 class=com.starfish_studios.another_furniture.block.CurtainBlock
another_furniture:magenta_lamp raw_id=7361 class=com.starfish_studios.another_furniture.block.LampBlock
another_furniture:magenta_lamp_connector raw_id=7377 class=com.starfish_studios.another_furniture.block.LampConnectorBlock
another_furniture:magenta_sofa raw_id=7393 class=com.starfish_studios.another_furniture.block.SofaBlock
another_furniture:magenta_stool raw_id=7284 class=com.starfish_studios.another_furniture.block.StoolBlock
another_furniture:magenta_tall_stool raw_id=7409 class=com.starfish_studios.another_furniture.block.TallStoolBlock
another_furniture:mangrove_bench raw_id=7343 class=com.starfish_studios.another_furniture.block.BenchBlock
another_furniture:mangrove_chair raw_id=7255 class=com.starfish_studios.another_furniture.block.ChairBlock
another_furniture:mangrove_drawer raw_id=7354 class=com.starfish_studios.another_furniture.block.DrawerBlock
another_furniture:mangrove_flower_box raw_id=7315 class=com.starfish_studios.another_furniture.block.FlowerBoxBlock
another_furniture:mangrove_shelf raw_id=7266 class=com.starfish_studios.another_furniture.block.ShelfBlock
another_furniture:mangrove_shutter raw_id=7304 class=com.starfish_studios.another_furniture.block.ShutterBlock
another_furniture:mangrove_table raw_id=7277 class=com.starfish_studios.another_furniture.block.TableBlock
another_furniture:oak_bench raw_id=7337 class=com.starfish_studios.another_furniture.block.BenchBlock
another_furniture:oak_chair raw_id=7249 class=com.starfish_studios.another_furniture.block.ChairBlock
another_furniture:oak_drawer raw_id=7348 class=com.starfish_studios.another_furniture.block.DrawerBlock
another_furniture:oak_flower_box raw_id=7309 class=com.starfish_studios.another_furniture.block.FlowerBoxBlock
another_furniture:oak_shelf raw_id=7260 class=com.starfish_studios.another_furniture.block.ShelfBlock
another_furniture:oak_shutter raw_id=7298 class=com.starfish_studios.another_furniture.block.ShutterBlock
another_furniture:oak_table raw_id=7271 class=com.starfish_studios.another_furniture.block.TableBlock
another_furniture:orange_curtain raw_id=7321 class=com.starfish_studios.another_furniture.block.CurtainBlock
another_furniture:orange_lamp raw_id=7360 class=com.starfish_studios.another_furniture.block.LampBlock
another_furniture:orange_lamp_connector raw_id=7376 class=com.starfish_studios.another_furniture.block.LampConnectorBlock
another_furniture:orange_sofa raw_id=7392 class=com.starfish_studios.another_furniture.block.SofaBlock
another_furniture:orange_stool raw_id=7283 class=com.starfish_studios.another_furniture.block.StoolBlock
another_furniture:orange_tall_stool raw_id=7408 class=com.starfish_studios.another_furniture.block.TallStoolBlock
another_furniture:pink_curtain raw_id=7326 class=com.starfish_studios.another_furniture.block.CurtainBlock
another_furniture:pink_lamp raw_id=7365 class=com.starfish_studios.another_furniture.block.LampBlock
another_furniture:pink_lamp_connector raw_id=7381 class=com.starfish_studios.another_furniture.block.LampConnectorBlock
another_furniture:pink_sofa raw_id=7397 class=com.starfish_studios.another_furniture.block.SofaBlock
another_furniture:pink_stool raw_id=7288 class=com.starfish_studios.another_furniture.block.StoolBlock
another_furniture:pink_tall_stool raw_id=7413 class=com.starfish_studios.another_furniture.block.TallStoolBlock
another_furniture:purple_curtain raw_id=7330 class=com.starfish_studios.another_furniture.block.CurtainBlock
another_furniture:purple_lamp raw_id=7369 class=com.starfish_studios.another_furniture.block.LampBlock
another_furniture:purple_lamp_connector raw_id=7385 class=com.starfish_studios.another_furniture.block.LampConnectorBlock
another_furniture:purple_sofa raw_id=7401 class=com.starfish_studios.another_furniture.block.SofaBlock
another_furniture:purple_stool raw_id=7292 class=com.starfish_studios.another_furniture.block.StoolBlock
another_furniture:purple_tall_stool raw_id=7417 class=com.starfish_studios.another_furniture.block.TallStoolBlock
another_furniture:red_curtain raw_id=7334 class=com.starfish_studios.another_furniture.block.CurtainBlock
another_furniture:red_lamp raw_id=7373 class=com.starfish_studios.another_furniture.block.LampBlock
another_furniture:red_lamp_connector raw_id=7389 class=com.starfish_studios.another_furniture.block.LampConnectorBlock
another_furniture:red_sofa raw_id=7405 class=com.starfish_studios.another_furniture.block.SofaBlock
another_furniture:red_stool raw_id=7296 class=com.starfish_studios.another_furniture.block.StoolBlock
another_furniture:red_tall_stool raw_id=7421 class=com.starfish_studios.another_furniture.block.TallStoolBlock
another_furniture:service_bell raw_id=7336 class=com.starfish_studios.another_furniture.block.ServiceBellBlock
another_furniture:spruce_bench raw_id=7338 class=com.starfish_studios.another_furniture.block.BenchBlock
another_furniture:spruce_chair raw_id=7250 class=com.starfish_studios.another_furniture.block.ChairBlock
another_furniture:spruce_drawer raw_id=7349 class=com.starfish_studios.another_furniture.block.DrawerBlock
another_furniture:spruce_flower_box raw_id=7310 class=com.starfish_studios.another_furniture.block.FlowerBoxBlock
another_furniture:spruce_shelf raw_id=7261 class=com.starfish_studios.another_furniture.block.ShelfBlock
another_furniture:spruce_shutter raw_id=7299 class=com.starfish_studios.another_furniture.block.ShutterBlock
another_furniture:spruce_table raw_id=7272 class=com.starfish_studios.another_furniture.block.TableBlock
another_furniture:warped_bench raw_id=7347 class=com.starfish_studios.another_furniture.block.BenchBlock
another_furniture:warped_chair raw_id=7259 class=com.starfish_studios.another_furniture.block.ChairBlock
another_furniture:warped_drawer raw_id=7358 class=com.starfish_studios.another_furniture.block.DrawerBlock
another_furniture:warped_flower_box raw_id=7319 class=com.starfish_studios.another_furniture.block.FlowerBoxBlock
another_furniture:warped_shelf raw_id=7270 class=com.starfish_studios.another_furniture.block.ShelfBlock
another_furniture:warped_shutter raw_id=7308 class=com.starfish_studios.another_furniture.block.ShutterBlock
another_furniture:warped_table raw_id=7281 class=com.starfish_studios.another_furniture.block.TableBlock
another_furniture:white_curtain raw_id=7320 class=com.starfish_studios.another_furniture.block.CurtainBlock
another_furniture:white_lamp raw_id=7359 class=com.starfish_studios.another_furniture.block.LampBlock
another_furniture:white_lamp_connector raw_id=7375 class=com.starfish_studios.another_furniture.block.LampConnectorBlock
another_furniture:white_sofa raw_id=7391 class=com.starfish_studios.another_furniture.block.SofaBlock
another_furniture:white_stool raw_id=7282 class=com.starfish_studios.another_furniture.block.StoolBlock
another_furniture:white_tall_stool raw_id=7407 class=com.starfish_studios.another_furniture.block.TallStoolBlock
another_furniture:yellow_curtain raw_id=7324 class=com.starfish_studios.another_furniture.block.CurtainBlock
another_furniture:yellow_lamp raw_id=7363 class=com.starfish_studios.another_furniture.block.LampBlock
another_furniture:yellow_lamp_connector raw_id=7379 class=com.starfish_studios.another_furniture.block.LampConnectorBlock
another_furniture:yellow_sofa raw_id=7395 class=com.starfish_studios.another_furniture.block.SofaBlock
another_furniture:yellow_stool raw_id=7286 class=com.starfish_studios.another_furniture.block.StoolBlock
another_furniture:yellow_tall_stool raw_id=7411 class=com.starfish_studios.another_furniture.block.TallStoolBlock
atmospheric:agave raw_id=8214 class=com.teamabnormals.atmospheric.common.block.AgaveBlock
atmospheric:aloe_bundle raw_id=8168 class=net.minecraft.world.level.block.RotatedPillarBlock
atmospheric:aloe_gel_block raw_id=8169 class=com.teamabnormals.atmospheric.common.block.AloeGelBlock
atmospheric:aloe_vera raw_id=8166 class=com.teamabnormals.atmospheric.common.block.AloeVeraBlock
atmospheric:arid_glass raw_id=8107 class=net.minecraft.world.level.block.TransparentBlock
atmospheric:arid_glass_pane raw_id=8108 class=net.minecraft.world.level.block.IronBarsBlock
atmospheric:arid_sand raw_id=8085 class=com.teamabnormals.atmospheric.common.block.AridSandBlock
atmospheric:arid_sandstone raw_id=8086 class=net.minecraft.world.level.block.Block
atmospheric:arid_sandstone_slab raw_id=8087 class=net.minecraft.world.level.block.SlabBlock
atmospheric:arid_sandstone_stairs raw_id=8088 class=net.minecraft.world.level.block.StairBlock
atmospheric:arid_sandstone_wall raw_id=8089 class=net.minecraft.world.level.block.WallBlock
atmospheric:arid_sprouts raw_id=8165 class=com.teamabnormals.atmospheric.common.block.AridSproutsBlock
atmospheric:aspen_beehive raw_id=8206 class=com.teamabnormals.blueprint.common.block.BlueprintBeehiveBlock
atmospheric:aspen_boards raw_id=8202 class=net.minecraft.world.level.block.RotatedPillarBlock
atmospheric:aspen_bookshelf raw_id=8203 class=net.minecraft.world.level.block.Block
atmospheric:aspen_button raw_id=8193 class=net.minecraft.world.level.block.ButtonBlock
atmospheric:aspen_chest raw_id=8208 class=com.teamabnormals.blueprint.common.block.chest.BlueprintChestBlock
atmospheric:aspen_door raw_id=8196 class=net.minecraft.world.level.block.DoorBlock
atmospheric:aspen_fence raw_id=8194 class=net.minecraft.world.level.block.FenceBlock
atmospheric:aspen_fence_gate raw_id=8195 class=net.minecraft.world.level.block.FenceGateBlock
atmospheric:aspen_hanging_sign raw_id=8200 class=com.teamabnormals.blueprint.common.block.sign.BlueprintCeilingHangingSignBlock
atmospheric:aspen_ladder raw_id=8205 class=net.minecraft.world.level.block.LadderBlock
atmospheric:aspen_leaf_pile raw_id=8207 class=com.teamabnormals.blueprint.common.block.LeafPileBlock
atmospheric:aspen_leaves raw_id=8186 class=net.minecraft.world.level.block.LeavesBlock
atmospheric:aspen_log raw_id=8182 class=com.teamabnormals.blueprint.common.block.LogBlock
atmospheric:aspen_planks raw_id=8189 class=net.minecraft.world.level.block.Block
atmospheric:aspen_pressure_plate raw_id=8192 class=net.minecraft.world.level.block.PressurePlateBlock
atmospheric:aspen_sapling raw_id=8187 class=net.minecraft.world.level.block.SaplingBlock
atmospheric:aspen_sign raw_id=8198 class=com.teamabnormals.blueprint.common.block.sign.BlueprintStandingSignBlock
atmospheric:aspen_slab raw_id=8191 class=net.minecraft.world.level.block.SlabBlock
atmospheric:aspen_stairs raw_id=8190 class=net.minecraft.world.level.block.StairBlock
atmospheric:aspen_trapdoor raw_id=8197 class=net.minecraft.world.level.block.TrapDoorBlock
atmospheric:aspen_wall_hanging_sign raw_id=8201 class=com.teamabnormals.blueprint.common.block.sign.BlueprintWallHangingSignBlock
atmospheric:aspen_wall_sign raw_id=8199 class=com.teamabnormals.blueprint.common.block.sign.BlueprintWallSignBlock
atmospheric:aspen_wood raw_id=8183 class=com.teamabnormals.blueprint.common.block.LogBlock
atmospheric:barrel_cactus raw_id=8171 class=com.teamabnormals.atmospheric.common.block.BarrelCactusBlock
atmospheric:barrel_cactus_batch raw_id=8179 class=net.minecraft.world.level.block.RotatedPillarBlock
atmospheric:black_candle_yucca_gateau raw_id=8162 class=com.teamabnormals.atmospheric.common.block.CandleGateauBlock
atmospheric:blood_orange raw_id=8255 class=com.teamabnormals.atmospheric.common.block.OrangeBlock
atmospheric:blood_orange_crate raw_id=8257 class=com.teamabnormals.blueprint.common.block.BlueprintDirectionalBlock
atmospheric:blue_candle_yucca_gateau raw_id=8158 class=com.teamabnormals.atmospheric.common.block.CandleGateauBlock
atmospheric:brown_candle_yucca_gateau raw_id=8159 class=com.teamabnormals.atmospheric.common.block.CandleGateauBlock
atmospheric:candle_yucca_gateau raw_id=8146 class=com.teamabnormals.atmospheric.common.block.CandleGateauBlock
atmospheric:carmine_block raw_id=8326 class=com.teamabnormals.atmospheric.common.block.CarmineBlock
atmospheric:carmine_pavement raw_id=8332 class=net.minecraft.world.level.block.Block
atmospheric:carmine_pavement_slab raw_id=8334 class=net.minecraft.world.level.block.SlabBlock
atmospheric:carmine_pavement_stairs raw_id=8333 class=net.minecraft.world.level.block.StairBlock
atmospheric:carmine_pavement_wall raw_id=8335 class=net.minecraft.world.level.block.WallBlock
atmospheric:carmine_shingle_slab raw_id=8329 class=net.minecraft.world.level.block.SlabBlock
atmospheric:carmine_shingle_stairs raw_id=8328 class=net.minecraft.world.level.block.StairBlock
atmospheric:carmine_shingle_wall raw_id=8330 class=net.minecraft.world.level.block.WallBlock
atmospheric:carmine_shingles raw_id=8327 class=net.minecraft.world.level.block.Block
atmospheric:chiseled_arid_sandstone raw_id=8095 class=net.minecraft.world.level.block.Block
atmospheric:chiseled_aspen_bookshelf raw_id=8204 class=com.teamabnormals.atmospheric.common.block.ChiseledAspenBookShelfBlock
atmospheric:chiseled_carmine_shingles raw_id=8331 class=net.minecraft.world.level.block.Block
atmospheric:chiseled_grimwood_bookshelf raw_id=8320 class=com.teamabnormals.atmospheric.common.block.ChiseledGrimwoodBookShelfBlock
atmospheric:chiseled_ivory_travertine raw_id=8058 class=net.minecraft.world.level.block.Block
atmospheric:chiseled_kousa_bookshelf raw_id=8280 class=com.teamabnormals.atmospheric.common.block.ChiseledKousaBookShelfBlock
atmospheric:chiseled_laurel_bookshelf raw_id=8244 class=com.teamabnormals.blueprint.common.block.BlueprintChiseledBookShelfBlock
atmospheric:chiseled_morado_bookshelf raw_id=8031 class=com.teamabnormals.atmospheric.common.block.ChiseledMoradoBookShelfBlock
atmospheric:chiseled_peach_travertine raw_id=8059 class=net.minecraft.world.level.block.Block
atmospheric:chiseled_persimmon_travertine raw_id=8060 class=net.minecraft.world.level.block.Block
atmospheric:chiseled_red_arid_sandstone raw_id=8106 class=net.minecraft.world.level.block.Block
atmospheric:chiseled_rosewood_bookshelf raw_id=8003 class=com.teamabnormals.atmospheric.common.block.ChiseledRosewoodBookShelfBlock
atmospheric:chiseled_saffron_travertine raw_id=8061 class=net.minecraft.world.level.block.Block
