# Registry dump
# Registry: neoforge:fluid_type
# Minecraft: 1.21.1
# Entries: 263
# Generated: 2026-06-14T13:45:01.5406753+08:00

bakeries:salt_water raw_id=261 class=com.renyigesai.bakeries.common.blocks.fluid.BakeriesFluidType
brewinandchewin:vodka raw_id=9 class=umpaz.brewinandchewin.neoforge.fluid.BnCFluidType
brewinandchewin:withering_dross raw_id=23 class=umpaz.brewinandchewin.neoforge.fluid.BnCFluidType
create:chocolate raw_id=194 class=com.simibubi.create.AllFluids$SolidRenderedPlaceableFluidType
create:honey raw_id=193 class=com.simibubi.create.AllFluids$SolidRenderedPlaceableFluidType
create:potion raw_id=191 class=com.simibubi.create.content.fluids.potion.PotionFluid$PotionFluidType
create:tea raw_id=192 class=com.simibubi.create.foundation.data.CreateRegistrate$1
create_bic_bit:curdled_milk raw_id=155 class=com.pyzpre.createbitterballen.index.FluidRegistry$SolidRenderedPlaceableFluidType
create_bic_bit:frying_oil raw_id=152 class=com.pyzpre.createbitterballen.index.FluidRegistry$TransparentRenderedPlaceableFluidType
create_bic_bit:ketchup raw_id=153 class=com.pyzpre.createbitterballen.index.FluidRegistry$SolidRenderedPlaceableFluidType
create_bic_bit:mayonnaise raw_id=154 class=com.pyzpre.createbitterballen.index.FluidRegistry$SolidRenderedPlaceableFluidType
create_bic_bit:stamppot raw_id=156 class=com.simibubi.create.foundation.data.CreateRegistrate$1
create_dragons_plus:black_dye raw_id=247 class=plus.dragons.createdragonsplus.common.fluids.dye.DyeFluidType
create_dragons_plus:blue_dye raw_id=256 class=plus.dragons.createdragonsplus.common.fluids.dye.DyeFluidType
create_dragons_plus:brown_dye raw_id=248 class=plus.dragons.createdragonsplus.common.fluids.dye.DyeFluidType
create_dragons_plus:cyan_dye raw_id=254 class=plus.dragons.createdragonsplus.common.fluids.dye.DyeFluidType
create_dragons_plus:dragon_breath raw_id=260 class=plus.dragons.createdragonsplus.common.fluids.dragonBreath.DragonBreathFluidType
create_dragons_plus:gray_dye raw_id=246 class=plus.dragons.createdragonsplus.common.fluids.dye.DyeFluidType
create_dragons_plus:green_dye raw_id=253 class=plus.dragons.createdragonsplus.common.fluids.dye.DyeFluidType
create_dragons_plus:light_blue_dye raw_id=255 class=plus.dragons.createdragonsplus.common.fluids.dye.DyeFluidType
create_dragons_plus:light_gray_dye raw_id=245 class=plus.dragons.createdragonsplus.common.fluids.dye.DyeFluidType
create_dragons_plus:lime_dye raw_id=252 class=plus.dragons.createdragonsplus.common.fluids.dye.DyeFluidType
create_dragons_plus:magenta_dye raw_id=258 class=plus.dragons.createdragonsplus.common.fluids.dye.DyeFluidType
create_dragons_plus:orange_dye raw_id=250 class=plus.dragons.createdragonsplus.common.fluids.dye.DyeFluidType
create_dragons_plus:pink_dye raw_id=259 class=plus.dragons.createdragonsplus.common.fluids.dye.DyeFluidType
create_dragons_plus:purple_dye raw_id=257 class=plus.dragons.createdragonsplus.common.fluids.dye.DyeFluidType
create_dragons_plus:red_dye raw_id=249 class=plus.dragons.createdragonsplus.common.fluids.dye.DyeFluidType
create_dragons_plus:white_dye raw_id=244 class=plus.dragons.createdragonsplus.common.fluids.dye.DyeFluidType
create_dragons_plus:yellow_dye raw_id=251 class=plus.dragons.createdragonsplus.common.fluids.dye.DyeFluidType
create_enchantment_industry:experience raw_id=262 class=plus.dragons.createenchantmentindustry.common.fluids.experience.ExperienceFluidType
creategearsandtavern:abyssal_porter raw_id=237 class=com.yision.creategearsandtavern.content.fluids.drink.KaleidoscopeDrinkFluid$KaleidoscopeDrinkFluidType
creategearsandtavern:black_bone_lafite raw_id=234 class=com.yision.creategearsandtavern.content.fluids.drink.KaleidoscopeDrinkFluid$KaleidoscopeDrinkFluidType
creategearsandtavern:blaze_martell raw_id=232 class=com.yision.creategearsandtavern.content.fluids.drink.KaleidoscopeDrinkFluid$KaleidoscopeDrinkFluidType
creategearsandtavern:brandy raw_id=207 class=com.yision.creategearsandtavern.content.fluids.drink.KaleidoscopeDrinkFluid$KaleidoscopeDrinkFluidType
creategearsandtavern:carignan raw_id=208 class=com.yision.creategearsandtavern.content.fluids.drink.KaleidoscopeDrinkFluid$KaleidoscopeDrinkFluidType
creategearsandtavern:champagne raw_id=205 class=com.yision.creategearsandtavern.content.fluids.drink.KaleidoscopeDrinkFluid$KaleidoscopeDrinkFluidType
creategearsandtavern:chorus_cognac raw_id=235 class=com.yision.creategearsandtavern.content.fluids.drink.KaleidoscopeDrinkFluid$KaleidoscopeDrinkFluidType
creategearsandtavern:crimson_crescendo raw_id=229 class=com.yision.creategearsandtavern.content.fluids.drink.KaleidoscopeDrinkFluid$KaleidoscopeDrinkFluidType
creategearsandtavern:divine_embryo_port raw_id=242 class=com.yision.creategearsandtavern.content.fluids.drink.KaleidoscopeDrinkFluid$KaleidoscopeDrinkFluidType
creategearsandtavern:draconic_blood_wine raw_id=243 class=com.yision.creategearsandtavern.content.fluids.drink.KaleidoscopeDrinkFluid$KaleidoscopeDrinkFluidType
creategearsandtavern:dragons_breath_brandy raw_id=236 class=com.yision.creategearsandtavern.content.fluids.drink.KaleidoscopeDrinkFluid$KaleidoscopeDrinkFluidType
creategearsandtavern:end_starlight raw_id=241 class=com.yision.creategearsandtavern.content.fluids.drink.KaleidoscopeDrinkFluid$KaleidoscopeDrinkFluidType
creategearsandtavern:ethereal_noble raw_id=230 class=com.yision.creategearsandtavern.content.fluids.drink.KaleidoscopeDrinkFluid$KaleidoscopeDrinkFluidType
creategearsandtavern:forgotten_margarita raw_id=239 class=com.yision.creategearsandtavern.content.fluids.drink.KaleidoscopeDrinkFluid$KaleidoscopeDrinkFluidType
creategearsandtavern:glowflower_brew raw_id=227 class=com.yision.creategearsandtavern.content.fluids.drink.KaleidoscopeDrinkFluid$KaleidoscopeDrinkFluidType
creategearsandtavern:honey_wine raw_id=216 class=com.yision.creategearsandtavern.content.fluids.drink.KaleidoscopeDrinkFluid$KaleidoscopeDrinkFluidType
creategearsandtavern:ice_wine raw_id=212 class=com.yision.creategearsandtavern.content.fluids.drink.KaleidoscopeDrinkFluid$KaleidoscopeDrinkFluidType
creategearsandtavern:luminous_bride raw_id=226 class=com.yision.creategearsandtavern.content.fluids.drink.KaleidoscopeDrinkFluid$KaleidoscopeDrinkFluidType
creategearsandtavern:madame_shexiang raw_id=222 class=com.yision.creategearsandtavern.content.fluids.drink.KaleidoscopeDrinkFluid$KaleidoscopeDrinkFluidType
creategearsandtavern:magma_royal_salute raw_id=233 class=com.yision.creategearsandtavern.content.fluids.drink.KaleidoscopeDrinkFluid$KaleidoscopeDrinkFluidType
creategearsandtavern:miners_star raw_id=218 class=com.yision.creategearsandtavern.content.fluids.drink.KaleidoscopeDrinkFluid$KaleidoscopeDrinkFluidType
creategearsandtavern:molotov raw_id=214 class=com.yision.creategearsandtavern.content.fluids.drink.KaleidoscopeDrinkFluid$KaleidoscopeDrinkFluidType
creategearsandtavern:mother_snow raw_id=225 class=com.yision.creategearsandtavern.content.fluids.drink.KaleidoscopeDrinkFluid$KaleidoscopeDrinkFluidType
creategearsandtavern:phantom_dream_bubble raw_id=240 class=com.yision.creategearsandtavern.content.fluids.drink.KaleidoscopeDrinkFluid$KaleidoscopeDrinkFluidType
creategearsandtavern:plum_wine raw_id=210 class=com.yision.creategearsandtavern.content.fluids.drink.KaleidoscopeDrinkFluid$KaleidoscopeDrinkFluidType
creategearsandtavern:polaris_sweet_white raw_id=215 class=com.yision.creategearsandtavern.content.fluids.drink.KaleidoscopeDrinkFluid$KaleidoscopeDrinkFluidType
creategearsandtavern:red_queen raw_id=217 class=com.yision.creategearsandtavern.content.fluids.drink.KaleidoscopeDrinkFluid$KaleidoscopeDrinkFluidType
creategearsandtavern:riesling_dry_white raw_id=220 class=com.yision.creategearsandtavern.content.fluids.drink.KaleidoscopeDrinkFluid$KaleidoscopeDrinkFluidType
creategearsandtavern:rum raw_id=219 class=com.yision.creategearsandtavern.content.fluids.drink.KaleidoscopeDrinkFluid$KaleidoscopeDrinkFluidType
creategearsandtavern:sakura_wine raw_id=209 class=com.yision.creategearsandtavern.content.fluids.drink.KaleidoscopeDrinkFluid$KaleidoscopeDrinkFluidType
creategearsandtavern:sauvignon_blanc_dry_white raw_id=228 class=com.yision.creategearsandtavern.content.fluids.drink.KaleidoscopeDrinkFluid$KaleidoscopeDrinkFluidType
creategearsandtavern:sherry raw_id=224 class=com.yision.creategearsandtavern.content.fluids.drink.KaleidoscopeDrinkFluid$KaleidoscopeDrinkFluidType
creategearsandtavern:silent_sherry raw_id=238 class=com.yision.creategearsandtavern.content.fluids.drink.KaleidoscopeDrinkFluid$KaleidoscopeDrinkFluidType
creategearsandtavern:sunset_glow raw_id=221 class=com.yision.creategearsandtavern.content.fluids.drink.KaleidoscopeDrinkFluid$KaleidoscopeDrinkFluidType
creategearsandtavern:sweet_berry_wine raw_id=223 class=com.yision.creategearsandtavern.content.fluids.drink.KaleidoscopeDrinkFluid$KaleidoscopeDrinkFluidType
creategearsandtavern:vinegar raw_id=213 class=com.yision.creategearsandtavern.content.fluids.drink.KaleidoscopeDrinkFluid$KaleidoscopeDrinkFluidType
creategearsandtavern:vodka raw_id=206 class=com.yision.creategearsandtavern.content.fluids.drink.KaleidoscopeDrinkFluid$KaleidoscopeDrinkFluidType
creategearsandtavern:wart_hennessy raw_id=231 class=com.yision.creategearsandtavern.content.fluids.drink.KaleidoscopeDrinkFluid$KaleidoscopeDrinkFluidType
creategearsandtavern:whiskey raw_id=211 class=com.yision.creategearsandtavern.content.fluids.drink.KaleidoscopeDrinkFluid$KaleidoscopeDrinkFluidType
creategearsandtavern:wine raw_id=204 class=com.yision.creategearsandtavern.content.fluids.drink.KaleidoscopeDrinkFluid$KaleidoscopeDrinkFluidType
createnuclear:uranium raw_id=6 class=net.nuclearteam.createnuclear.CNFluids$SolidRenderedPlaceableFluidity
delighto_flight:charged_rose_tea_type raw_id=74 class=com.cloudmeow.delightoflight.fluid.BasicFluidType
fruitsdelight:apple_jam raw_id=75 class=dev.xkmc.fruitsdelight.init.entries.FruitFluidType
fruitsdelight:apple_jello raw_id=76 class=dev.xkmc.fruitsdelight.init.entries.FruitFluidType
fruitsdelight:bayberry_jam raw_id=111 class=dev.xkmc.fruitsdelight.init.entries.FruitFluidType
fruitsdelight:bayberry_jello raw_id=112 class=dev.xkmc.fruitsdelight.init.entries.FruitFluidType
fruitsdelight:bayberry_soup raw_id=128 class=dev.xkmc.fruitsdelight.init.entries.FruitFluidType
fruitsdelight:bellini_cocktail raw_id=130 class=dev.xkmc.fruitsdelight.init.entries.FruitFluidType
fruitsdelight:blueberry_jam raw_id=77 class=dev.xkmc.fruitsdelight.init.entries.FruitFluidType
fruitsdelight:blueberry_jello raw_id=78 class=dev.xkmc.fruitsdelight.init.entries.FruitFluidType
fruitsdelight:chorus_jam raw_id=109 class=dev.xkmc.fruitsdelight.init.entries.FruitFluidType
fruitsdelight:chorus_jello raw_id=110 class=dev.xkmc.fruitsdelight.init.entries.FruitFluidType
fruitsdelight:cranberry_jam raw_id=103 class=dev.xkmc.fruitsdelight.init.entries.FruitFluidType
fruitsdelight:cranberry_jello raw_id=104 class=dev.xkmc.fruitsdelight.init.entries.FruitFluidType
fruitsdelight:durian_jam raw_id=117 class=dev.xkmc.fruitsdelight.init.entries.FruitFluidType
fruitsdelight:durian_jello raw_id=118 class=dev.xkmc.fruitsdelight.init.entries.FruitFluidType
fruitsdelight:fig_jam raw_id=115 class=dev.xkmc.fruitsdelight.init.entries.FruitFluidType
fruitsdelight:fig_jello raw_id=116 class=dev.xkmc.fruitsdelight.init.entries.FruitFluidType
fruitsdelight:glowberry_jam raw_id=79 class=dev.xkmc.fruitsdelight.init.entries.FruitFluidType
fruitsdelight:glowberry_jello raw_id=80 class=dev.xkmc.fruitsdelight.init.entries.FruitFluidType
fruitsdelight:hamimelon_jam raw_id=81 class=dev.xkmc.fruitsdelight.init.entries.FruitFluidType
fruitsdelight:hamimelon_jello raw_id=82 class=dev.xkmc.fruitsdelight.init.entries.FruitFluidType
fruitsdelight:hamimelon_juice raw_id=119 class=dev.xkmc.fruitsdelight.init.entries.FruitFluidType
fruitsdelight:hawberry_jam raw_id=85 class=dev.xkmc.fruitsdelight.init.entries.FruitFluidType
fruitsdelight:hawberry_jello raw_id=86 class=dev.xkmc.fruitsdelight.init.entries.FruitFluidType
fruitsdelight:hawberry_tea raw_id=120 class=dev.xkmc.fruitsdelight.init.entries.FruitFluidType
fruitsdelight:kiwi_jam raw_id=113 class=dev.xkmc.fruitsdelight.init.entries.FruitFluidType
fruitsdelight:kiwi_jello raw_id=114 class=dev.xkmc.fruitsdelight.init.entries.FruitFluidType
fruitsdelight:kiwi_juice raw_id=129 class=dev.xkmc.fruitsdelight.init.entries.FruitFluidType
fruitsdelight:lemon_jam raw_id=101 class=dev.xkmc.fruitsdelight.init.entries.FruitFluidType
fruitsdelight:lemon_jello raw_id=102 class=dev.xkmc.fruitsdelight.init.entries.FruitFluidType
fruitsdelight:lemon_juice raw_id=122 class=dev.xkmc.fruitsdelight.init.entries.FruitFluidType
fruitsdelight:lychee_cherry_tea raw_id=126 class=dev.xkmc.fruitsdelight.init.entries.FruitFluidType
fruitsdelight:lychee_jam raw_id=87 class=dev.xkmc.fruitsdelight.init.entries.FruitFluidType
fruitsdelight:lychee_jello raw_id=88 class=dev.xkmc.fruitsdelight.init.entries.FruitFluidType
fruitsdelight:mango_jam raw_id=89 class=dev.xkmc.fruitsdelight.init.entries.FruitFluidType
fruitsdelight:mango_jello raw_id=90 class=dev.xkmc.fruitsdelight.init.entries.FruitFluidType
fruitsdelight:mango_tea raw_id=124 class=dev.xkmc.fruitsdelight.init.entries.FruitFluidType
fruitsdelight:mangosteen_jam raw_id=105 class=dev.xkmc.fruitsdelight.init.entries.FruitFluidType
fruitsdelight:mangosteen_jello raw_id=106 class=dev.xkmc.fruitsdelight.init.entries.FruitFluidType
fruitsdelight:mangosteen_tea raw_id=127 class=dev.xkmc.fruitsdelight.init.entries.FruitFluidType
fruitsdelight:melon_jam raw_id=83 class=dev.xkmc.fruitsdelight.init.entries.FruitFluidType
fruitsdelight:melon_jello raw_id=84 class=dev.xkmc.fruitsdelight.init.entries.FruitFluidType
fruitsdelight:orange_jam raw_id=91 class=dev.xkmc.fruitsdelight.init.entries.FruitFluidType
fruitsdelight:orange_jello raw_id=92 class=dev.xkmc.fruitsdelight.init.entries.FruitFluidType
fruitsdelight:orange_juice raw_id=121 class=dev.xkmc.fruitsdelight.init.entries.FruitFluidType
fruitsdelight:peach_jam raw_id=93 class=dev.xkmc.fruitsdelight.init.entries.FruitFluidType
fruitsdelight:peach_jello raw_id=94 class=dev.xkmc.fruitsdelight.init.entries.FruitFluidType
fruitsdelight:peach_tea raw_id=125 class=dev.xkmc.fruitsdelight.init.entries.FruitFluidType
fruitsdelight:pear_jam raw_id=95 class=dev.xkmc.fruitsdelight.init.entries.FruitFluidType
fruitsdelight:pear_jello raw_id=96 class=dev.xkmc.fruitsdelight.init.entries.FruitFluidType
fruitsdelight:pear_juice raw_id=123 class=dev.xkmc.fruitsdelight.init.entries.FruitFluidType
fruitsdelight:persimmon_jam raw_id=97 class=dev.xkmc.fruitsdelight.init.entries.FruitFluidType
fruitsdelight:persimmon_jello raw_id=98 class=dev.xkmc.fruitsdelight.init.entries.FruitFluidType
fruitsdelight:pineapple_jam raw_id=99 class=dev.xkmc.fruitsdelight.init.entries.FruitFluidType
fruitsdelight:pineapple_jello raw_id=100 class=dev.xkmc.fruitsdelight.init.entries.FruitFluidType
fruitsdelight:sweetberry_jam raw_id=107 class=dev.xkmc.fruitsdelight.init.entries.FruitFluidType
fruitsdelight:sweetberry_jello raw_id=108 class=dev.xkmc.fruitsdelight.init.entries.FruitFluidType
immortalers_delight:hot_spring raw_id=174 class=com.renyigesai.immortalers_delight.fluid.HotSpringFluidType
irons_spellbooks:blood raw_id=175 class=net.neoforged.neoforge.fluids.FluidType
irons_spellbooks:common_ink raw_id=176 class=net.neoforged.neoforge.fluids.FluidType
irons_spellbooks:epic_ink raw_id=179 class=net.neoforged.neoforge.fluids.FluidType
irons_spellbooks:evasion_elixir raw_id=182 class=net.neoforged.neoforge.fluids.FluidType
irons_spellbooks:greater_evasion_elixir raw_id=183 class=net.neoforged.neoforge.fluids.FluidType
irons_spellbooks:greater_healing_elixir raw_id=188 class=net.neoforged.neoforge.fluids.FluidType
irons_spellbooks:greater_invisibility_elixir raw_id=187 class=net.neoforged.neoforge.fluids.FluidType
irons_spellbooks:greater_oakskin_elixir raw_id=185 class=net.neoforged.neoforge.fluids.FluidType
irons_spellbooks:ice_venom raw_id=190 class=net.neoforged.neoforge.fluids.FluidType
irons_spellbooks:invisibility_elixir raw_id=186 class=net.neoforged.neoforge.fluids.FluidType
irons_spellbooks:legendary_ink raw_id=180 class=net.neoforged.neoforge.fluids.FluidType
irons_spellbooks:oakskin_elixir raw_id=184 class=net.neoforged.neoforge.fluids.FluidType
irons_spellbooks:potion raw_id=181 class=io.redspace.ironsspellbooks.fluids.PotionFluidType
irons_spellbooks:rare_ink raw_id=178 class=net.neoforged.neoforge.fluids.FluidType
irons_spellbooks:timeless_slurry raw_id=189 class=net.neoforged.neoforge.fluids.FluidType
irons_spellbooks:uncommon_ink raw_id=177 class=net.neoforged.neoforge.fluids.FluidType
iss_magicfromtheeast:soul raw_id=5 class=net.neoforged.neoforge.fluids.FluidType
kaleidoscope_dim_wine:crimson_grape_juice raw_id=70 class=com.chinaex123.kaleidoscope_dim_wine.init.KDWFluidTypes
kaleidoscope_dim_wine:dragon_blood raw_id=73 class=com.chinaex123.kaleidoscope_dim_wine.init.KDWFluidTypes
kaleidoscope_dim_wine:dreamfruit_juice raw_id=72 class=com.chinaex123.kaleidoscope_dim_wine.init.KDWFluidTypes
kaleidoscope_dim_wine:warped_grape_juice raw_id=71 class=com.chinaex123.kaleidoscope_dim_wine.init.KDWFluidTypes
kaleidoscope_tavern:glow_berries_juice raw_id=69 class=com.github.ysbbbbbb.kaleidoscopetavern.fluid.JuiceFluidType
kaleidoscope_tavern:gold_grape_juice raw_id=66 class=com.github.ysbbbbbb.kaleidoscopetavern.fluid.JuiceFluidType
kaleidoscope_tavern:grape_juice raw_id=64 class=com.github.ysbbbbbb.kaleidoscopetavern.fluid.JuiceFluidType
kaleidoscope_tavern:green_grape_juice raw_id=67 class=com.github.ysbbbbbb.kaleidoscopetavern.fluid.JuiceFluidType
kaleidoscope_tavern:ice_grape_juice raw_id=65 class=com.github.ysbbbbbb.kaleidoscopetavern.fluid.JuiceFluidType
kaleidoscope_tavern:sweet_berries_juice raw_id=68 class=com.github.ysbbbbbb.kaleidoscopetavern.fluid.JuiceFluidType
minecraft:empty raw_id=1 class=net.neoforged.neoforge.common.NeoForgeMod$1
minecraft:lava raw_id=3 class=net.neoforged.neoforge.common.NeoForgeMod$3
minecraft:milk raw_id=0 class=net.neoforged.neoforge.fluids.FluidType
minecraft:water raw_id=2 class=net.neoforged.neoforge.common.NeoForgeMod$2
ratatouille:bio_gas raw_id=200 class=com.tterrag.registrate.builders.FluidBuilder$1
ratatouille:cake_batter raw_id=196 class=com.tterrag.registrate.builders.FluidBuilder$1
ratatouille:cocoa_liquor raw_id=195 class=org.forsteri.ratatouille.entry.CRFluids$SolidRenderedPlaceableFluidType
ratatouille:compost_fluid raw_id=201 class=com.simibubi.create.foundation.data.CreateRegistrate$1
ratatouille:compost_residue_fluid raw_id=202 class=com.tterrag.registrate.builders.FluidBuilder$1
ratatouille:compost_tea raw_id=199 class=com.tterrag.registrate.builders.FluidBuilder$1
ratatouille:egg_yolk raw_id=198 class=com.tterrag.registrate.builders.FluidBuilder$1
ratatouille:melon_juice_fluid raw_id=203 class=com.tterrag.registrate.builders.FluidBuilder$1
ratatouille:mince_meat raw_id=197 class=com.tterrag.registrate.builders.FluidBuilder$1
sophisticatedcore:experience raw_id=63 class=net.neoforged.neoforge.fluids.FluidType
supplementaries:lumisene raw_id=4 class=net.mehvahdjukaar.supplementaries.reg.platform.ModFluidsImpl$1
tofucraft:bittern raw_id=148 class=net.neoforged.neoforge.fluids.FluidType
tofucraft:crimson raw_id=150 class=net.neoforged.neoforge.fluids.FluidType
tofucraft:doubanjiang raw_id=149 class=baguchan.tofucraft.fluid_type.DoubanjiangFluidType
tofucraft:soymilk raw_id=145 class=net.neoforged.neoforge.fluids.FluidType
tofucraft:soymilk_hell raw_id=146 class=net.neoforged.neoforge.fluids.FluidType
tofucraft:soymilk_soul raw_id=147 class=net.neoforged.neoforge.fluids.FluidType
tofucraft:warped raw_id=151 class=net.neoforged.neoforge.fluids.FluidType
tofucreate:soymilk_annin raw_id=131 class=mod.ckenja.tofucreate.register.ModAllFluids$1
tofucreate:soymilk_apple raw_id=132 class=mod.ckenja.tofucreate.register.ModAllFluids$1
tofucreate:soymilk_cocoa raw_id=133 class=mod.ckenja.tofucreate.register.ModAllFluids$1
tofucreate:soymilk_fruits raw_id=134 class=mod.ckenja.tofucreate.register.ModAllFluids$1
tofucreate:soymilk_honey raw_id=135 class=mod.ckenja.tofucreate.register.ModAllFluids$1
tofucreate:soymilk_kinako raw_id=136 class=mod.ckenja.tofucreate.register.ModAllFluids$1
tofucreate:soymilk_pudding raw_id=137 class=mod.ckenja.tofucreate.register.ModAllFluids$1
tofucreate:soymilk_pumpkin raw_id=138 class=mod.ckenja.tofucreate.register.ModAllFluids$1
tofucreate:soymilk_ramune raw_id=139 class=mod.ckenja.tofucreate.register.ModAllFluids$1
tofucreate:soymilk_sakura raw_id=140 class=mod.ckenja.tofucreate.register.ModAllFluids$1
tofucreate:soymilk_strawberry raw_id=142 class=mod.ckenja.tofucreate.register.ModAllFluids$1
tofucreate:soymilk_tea raw_id=141 class=mod.ckenja.tofucreate.register.ModAllFluids$1
tofucreate:soyoil raw_id=143 class=mod.ckenja.tofucreate.register.ModAllFluids$1
tsuki:beer raw_id=161 class=cn.mcmod.tsuki.init.fluid.FluidTypeRegistry$1
tsuki:brandy raw_id=167 class=cn.mcmod.tsuki.init.fluid.FluidTypeRegistry$1
tsuki:champagne raw_id=166 class=cn.mcmod.tsuki.init.fluid.FluidTypeRegistry$1
tsuki:cocoa_liqueur raw_id=170 class=cn.mcmod.tsuki.init.fluid.FluidTypeRegistry$1
tsuki:doburoku raw_id=158 class=cn.mcmod.tsuki.init.fluid.FluidTypeRegistry$1
tsuki:food_oil raw_id=157 class=cn.mcmod.tsuki.init.fluid.FluidTypeRegistry$1
tsuki:gin raw_id=171 class=cn.mcmod.tsuki.init.fluid.FluidTypeRegistry$1
tsuki:liqueur raw_id=169 class=cn.mcmod.tsuki.init.fluid.FluidTypeRegistry$1
tsuki:maple_syrup raw_id=173 class=cn.mcmod.tsuki.init.fluid.FluidTypeRegistry$1
tsuki:red_wine raw_id=164 class=cn.mcmod.tsuki.init.fluid.FluidTypeRegistry$1
tsuki:rum raw_id=163 class=cn.mcmod.tsuki.init.fluid.FluidTypeRegistry$1
tsuki:sake raw_id=159 class=cn.mcmod.tsuki.init.fluid.FluidTypeRegistry$1
tsuki:shouchu raw_id=160 class=cn.mcmod.tsuki.init.fluid.FluidTypeRegistry$1
tsuki:tequila raw_id=172 class=cn.mcmod.tsuki.init.fluid.FluidTypeRegistry$1
tsuki:vodka raw_id=168 class=cn.mcmod.tsuki.init.fluid.FluidTypeRegistry$1
tsuki:whiskey raw_id=162 class=cn.mcmod.tsuki.init.fluid.FluidTypeRegistry$1
tsuki:white_wine raw_id=165 class=cn.mcmod.tsuki.init.fluid.FluidTypeRegistry$1
youkaishomecoming:black_grape_juice raw_id=55 class=dev.xkmc.youkaishomecoming.content.item.fluid.YHFluidType
youkaishomecoming:black_tea raw_id=31 class=dev.xkmc.youkaishomecoming.content.item.fluid.YHFluidType
youkaishomecoming:blood raw_id=28 class=dev.xkmc.youkaishomecoming.content.item.fluid.YHFluidType
youkaishomecoming:burgundy raw_id=60 class=dev.xkmc.youkaishomecoming.content.item.fluid.YHFluidType
youkaishomecoming:champagne raw_id=61 class=dev.xkmc.youkaishomecoming.content.item.fluid.YHFluidType
youkaishomecoming:cornflower_tea raw_id=35 class=dev.xkmc.youkaishomecoming.content.item.fluid.YHFluidType
youkaishomecoming:daiginjo raw_id=49 class=dev.xkmc.youkaishomecoming.content.item.fluid.YHFluidType
youkaishomecoming:dark_tea raw_id=33 class=dev.xkmc.youkaishomecoming.content.item.fluid.YHFluidType
youkaishomecoming:dassai raw_id=50 class=dev.xkmc.youkaishomecoming.content.item.fluid.YHFluidType
youkaishomecoming:full_moons_eve raw_id=52 class=dev.xkmc.youkaishomecoming.content.item.fluid.YHFluidType
youkaishomecoming:genmai_tea raw_id=39 class=dev.xkmc.youkaishomecoming.content.item.fluid.YHFluidType
youkaishomecoming:green_tea raw_id=29 class=dev.xkmc.youkaishomecoming.content.item.fluid.YHFluidType
youkaishomecoming:green_water raw_id=41 class=dev.xkmc.youkaishomecoming.content.item.fluid.YHFluidType
youkaishomecoming:hakutsuru raw_id=46 class=dev.xkmc.youkaishomecoming.content.item.fluid.YHFluidType
youkaishomecoming:kappa_village raw_id=47 class=dev.xkmc.youkaishomecoming.content.item.fluid.YHFluidType
youkaishomecoming:kiku raw_id=45 class=dev.xkmc.youkaishomecoming.content.item.fluid.YHFluidType
youkaishomecoming:mayonnaise raw_id=27 class=dev.xkmc.youkaishomecoming.content.item.fluid.YHFluidType
youkaishomecoming:mead raw_id=43 class=dev.xkmc.youkaishomecoming.content.item.fluid.YHFluidType
youkaishomecoming:mio raw_id=42 class=dev.xkmc.youkaishomecoming.content.item.fluid.YHFluidType
