# Registry dump
# Registry: minecraft:worldgen/feature
# Minecraft: 1.21.1
# Entries: 133
# Generated: 2026-06-14T13:45:01.458595+08:00

artifacts:campsite raw_id=97 class=artifacts.world.CampsiteFeature
atmospheric:water_hyacinth_patch raw_id=110 class=com.teamabnormals.atmospheric.common.levelgen.feature.WaterHyacinthPatchFeature
atmospheric:yucca_tree raw_id=115 class=com.teamabnormals.atmospheric.common.levelgen.feature.YuccaTreeFeature
create:layered_ore raw_id=132 class=com.simibubi.create.infrastructure.worldgen.LayeredOreFeature
delighto_flight:wild_lotus raw_id=92 class=com.cloudmeow.delightoflight.world.feature.WildLotusFeature
ends_delight:chorus_succulent raw_id=89 class=cn.foggyhillside.ends_delight.worldgen.ChorusSucculentFeature
farmersdelight:wild_crop raw_id=91 class=vectorwing.farmersdelight.common.world.feature.WildCropFeature
farmersdelight:wild_rice raw_id=90 class=vectorwing.farmersdelight.common.world.feature.WildRiceFeature
immortalers_delight:oxygrape raw_id=104 class=com.renyigesai.immortalers_delight.world.feature.OxygrapeFeature
irons_spellbooks:exposed_air_feature raw_id=131 class=io.redspace.ironsspellbooks.worldgen.features.ExposedAirFeature
lithostitched:composite raw_id=75 class=dev.worldgen.lithostitched.worldgen.feature.CompositeFeature
lithostitched:dungeon raw_id=71 class=dev.worldgen.lithostitched.worldgen.feature.DungeonFeature
lithostitched:large_dripstone raw_id=68 class=dev.worldgen.lithostitched.worldgen.feature.LargeDripstoneFeature
lithostitched:ore raw_id=72 class=dev.worldgen.lithostitched.worldgen.feature.OreFeature
lithostitched:placed raw_id=69 class=dev.worldgen.lithostitched.worldgen.feature.SimplePlacedFeature
lithostitched:select raw_id=70 class=dev.worldgen.lithostitched.worldgen.feature.SelectFeature
lithostitched:structure_template raw_id=77 class=dev.worldgen.lithostitched.worldgen.feature.StructureTemplateFeature
lithostitched:vines raw_id=74 class=dev.worldgen.lithostitched.worldgen.feature.VinesFeature
lithostitched:weighted_selector raw_id=76 class=dev.worldgen.lithostitched.worldgen.feature.WeightedSelectorFeature
lithostitched:well raw_id=73 class=dev.worldgen.lithostitched.worldgen.feature.WellFeature
minecraft:bamboo raw_id=42 class=net.minecraft.world.level.levelgen.feature.BambooFeature
minecraft:basalt_columns raw_id=47 class=net.minecraft.world.level.levelgen.feature.BasaltColumnsFeature
minecraft:basalt_pillar raw_id=52 class=net.minecraft.world.level.levelgen.feature.BasaltPillarFeature
minecraft:block_column raw_id=18 class=net.minecraft.world.level.levelgen.feature.BlockColumnFeature
minecraft:block_pile raw_id=5 class=net.minecraft.world.level.levelgen.feature.BlockPileFeature
minecraft:blue_ice raw_id=25 class=net.minecraft.world.level.levelgen.feature.BlueIceFeature
minecraft:bonus_chest raw_id=51 class=net.minecraft.world.level.levelgen.feature.BonusChestFeature
minecraft:chorus_plant raw_id=7 class=net.minecraft.world.level.levelgen.feature.ChorusPlantFeature
minecraft:coral_claw raw_id=39 class=net.minecraft.world.level.levelgen.feature.CoralClawFeature
minecraft:coral_mushroom raw_id=38 class=net.minecraft.world.level.levelgen.feature.CoralMushroomFeature
minecraft:coral_tree raw_id=37 class=net.minecraft.world.level.levelgen.feature.CoralTreeFeature
minecraft:delta_feature raw_id=48 class=net.minecraft.world.level.levelgen.feature.DeltaFeature
minecraft:desert_well raw_id=10 class=net.minecraft.world.level.levelgen.feature.DesertWellFeature
minecraft:disk raw_id=28 class=net.minecraft.world.level.levelgen.feature.DiskFeature
minecraft:dripstone_cluster raw_id=58 class=net.minecraft.world.level.levelgen.feature.DripstoneClusterFeature
minecraft:end_gateway raw_id=34 class=net.minecraft.world.level.levelgen.feature.EndGatewayFeature
minecraft:end_island raw_id=33 class=net.minecraft.world.level.levelgen.feature.EndIslandFeature
minecraft:end_platform raw_id=31 class=net.minecraft.world.level.levelgen.feature.EndPlatformFeature
minecraft:end_spike raw_id=32 class=net.minecraft.world.level.levelgen.feature.SpikeFeature
minecraft:fill_layer raw_id=50 class=net.minecraft.world.level.levelgen.feature.FillLayerFeature
minecraft:flower raw_id=2 class=net.minecraft.world.level.levelgen.feature.RandomPatchFeature
minecraft:forest_rock raw_id=27 class=net.minecraft.world.level.levelgen.feature.BlockBlobFeature
minecraft:fossil raw_id=11 class=net.minecraft.world.level.levelgen.feature.FossilFeature
minecraft:freeze_top_layer raw_id=16 class=net.minecraft.world.level.levelgen.feature.SnowAndFreezeFeature
minecraft:geode raw_id=57 class=net.minecraft.world.level.levelgen.feature.GeodeFeature
minecraft:glowstone_blob raw_id=15 class=net.minecraft.world.level.levelgen.feature.GlowstoneFeature
minecraft:huge_brown_mushroom raw_id=13 class=net.minecraft.world.level.levelgen.feature.HugeBrownMushroomFeature
minecraft:huge_fungus raw_id=43 class=net.minecraft.world.level.levelgen.feature.HugeFungusFeature
minecraft:huge_red_mushroom raw_id=12 class=net.minecraft.world.level.levelgen.feature.HugeRedMushroomFeature
minecraft:ice_spike raw_id=14 class=net.minecraft.world.level.levelgen.feature.IceSpikeFeature
minecraft:iceberg raw_id=26 class=net.minecraft.world.level.levelgen.feature.IcebergFeature
minecraft:kelp raw_id=36 class=net.minecraft.world.level.levelgen.feature.KelpFeature
minecraft:lake raw_id=29 class=net.minecraft.world.level.levelgen.feature.LakeFeature
minecraft:large_dripstone raw_id=59 class=net.minecraft.world.level.levelgen.feature.LargeDripstoneFeature
minecraft:monster_room raw_id=24 class=net.minecraft.world.level.levelgen.feature.MonsterRoomFeature
minecraft:multiface_growth raw_id=22 class=net.minecraft.world.level.levelgen.feature.MultifaceGrowthFeature
minecraft:nether_forest_vegetation raw_id=44 class=net.minecraft.world.level.levelgen.feature.NetherForestVegetationFeature
minecraft:netherrack_replace_blobs raw_id=49 class=net.minecraft.world.level.levelgen.feature.ReplaceBlobsFeature
minecraft:no_bonemeal_flower raw_id=3 class=net.minecraft.world.level.levelgen.feature.RandomPatchFeature
minecraft:no_op raw_id=0 class=net.minecraft.world.level.levelgen.feature.NoOpFeature
minecraft:ore raw_id=30 class=net.minecraft.world.level.levelgen.feature.OreFeature
minecraft:pointed_dripstone raw_id=60 class=net.minecraft.world.level.levelgen.feature.PointedDripstoneFeature
minecraft:random_boolean_selector raw_id=56 class=net.minecraft.world.level.levelgen.feature.RandomBooleanSelectorFeature
minecraft:random_patch raw_id=4 class=net.minecraft.world.level.levelgen.feature.RandomPatchFeature
minecraft:random_selector raw_id=54 class=net.minecraft.world.level.levelgen.feature.RandomSelectorFeature
minecraft:replace_single_block raw_id=8 class=net.minecraft.world.level.levelgen.feature.ReplaceBlockFeature
minecraft:root_system raw_id=21 class=net.minecraft.world.level.levelgen.feature.RootSystemFeature
minecraft:scattered_ore raw_id=53 class=net.minecraft.world.level.levelgen.feature.ScatteredOreFeature
minecraft:sculk_patch raw_id=61 class=net.minecraft.world.level.levelgen.feature.SculkPatchFeature
minecraft:sea_pickle raw_id=40 class=net.minecraft.world.level.levelgen.feature.SeaPickleFeature
minecraft:seagrass raw_id=35 class=net.minecraft.world.level.levelgen.feature.SeagrassFeature
minecraft:simple_block raw_id=41 class=net.minecraft.world.level.levelgen.feature.SimpleBlockFeature
minecraft:simple_random_selector raw_id=55 class=net.minecraft.world.level.levelgen.feature.SimpleRandomSelectorFeature
minecraft:spring_feature raw_id=6 class=net.minecraft.world.level.levelgen.feature.SpringFeature
minecraft:tree raw_id=1 class=net.minecraft.world.level.levelgen.feature.TreeFeature
minecraft:twisting_vines raw_id=46 class=net.minecraft.world.level.levelgen.feature.TwistingVinesFeature
minecraft:underwater_magma raw_id=23 class=net.minecraft.world.level.levelgen.feature.UnderwaterMagmaFeature
minecraft:vegetation_patch raw_id=19 class=net.minecraft.world.level.levelgen.feature.VegetationPatchFeature
minecraft:vines raw_id=17 class=net.minecraft.world.level.levelgen.feature.VinesFeature
minecraft:void_start_platform raw_id=9 class=net.minecraft.world.level.levelgen.feature.VoidStartPlatformFeature
minecraft:waterlogged_vegetation_patch raw_id=20 class=net.minecraft.world.level.levelgen.feature.WaterloggedVegetationPatchFeature
minecraft:weeping_vines raw_id=45 class=net.minecraft.world.level.levelgen.feature.WeepingVinesFeature
mynethersdelight:powderycane raw_id=93 class=com.soytutta.mynethersdelight.common.world.feature.PowderyCaneFeature
neapolitan:adzuki_sprouts raw_id=102 class=com.teamabnormals.neapolitan.common.levelgen.feature.AdzukiSproutsFeature
neapolitan:banana_plant raw_id=101 class=com.teamabnormals.neapolitan.common.levelgen.feature.BananaPlantFeature
neapolitan:mint_pond raw_id=103 class=com.teamabnormals.neapolitan.common.levelgen.feature.MintPondFeature
neapolitan:strawberry_bush raw_id=99 class=com.teamabnormals.neapolitan.common.levelgen.feature.StrawberryBushFeature
neapolitan:vanilla_patch raw_id=100 class=com.teamabnormals.neapolitan.common.levelgen.feature.VanillaPatchFeature
quark:glow_shrooms raw_id=62 class=org.violetmoon.quark.content.world.feature.GlowShroomsFeature
quark:glow_shrooms_extras raw_id=63 class=org.violetmoon.quark.content.world.feature.GlowExtrasFeature
supplementaries:barnacles_multiface_growth raw_id=67 class=net.mehvahdjukaar.supplementaries.common.worldgen.BarnaclesMultifaceGrowthFeature
supplementaries:road_sign raw_id=65 class=net.mehvahdjukaar.supplementaries.common.worldgen.RoadSignFeature
supplementaries:spawn_entity_with_passengers raw_id=64 class=net.mehvahdjukaar.supplementaries.common.worldgen.SpawnEntityWithPassengersFeature
supplementaries:surface_scan_random_patch raw_id=66 class=net.mehvahdjukaar.supplementaries.common.worldgen.BasaltAshFeature
tofucraft:big_leek raw_id=96 class=baguchan.tofucraft.world.gen.feature.BigLeekFeature
tofucraft:tofu_building raw_id=95 class=baguchan.tofucraft.world.gen.feature.TofuBuildingFeature
tofucraft:tofu_rock raw_id=94 class=baguchan.tofucraft.world.gen.feature.TofuBlobFeature
zeta:deferred_feature_fluid_springs raw_id=86 class=org.violetmoon.zeta.world.DeferredFeature
zeta:deferred_feature_lakes raw_id=79 class=org.violetmoon.zeta.world.DeferredFeature
zeta:deferred_feature_local_modifications raw_id=80 class=org.violetmoon.zeta.world.DeferredFeature
zeta:deferred_feature_raw_generation raw_id=78 class=org.violetmoon.zeta.world.DeferredFeature
zeta:deferred_feature_strongholds raw_id=83 class=org.violetmoon.zeta.world.DeferredFeature
zeta:deferred_feature_surface_structures raw_id=82 class=org.violetmoon.zeta.world.DeferredFeature
zeta:deferred_feature_top_layer_modification raw_id=88 class=org.violetmoon.zeta.world.DeferredFeature
zeta:deferred_feature_underground_decoration raw_id=85 class=org.violetmoon.zeta.world.DeferredFeature
zeta:deferred_feature_underground_ores raw_id=84 class=org.violetmoon.zeta.world.DeferredFeature
zeta:deferred_feature_underground_structures raw_id=81 class=org.violetmoon.zeta.world.DeferredFeature
zeta:deferred_feature_vegetal_decoration raw_id=87 class=org.violetmoon.zeta.world.DeferredFeature
